"Index Name","Date","Open","High","Low","Close"
"NIFTY 100","21 Feb 2014","5990.35","6037.50","5990.35","6034.00"
"NIFTY 100","20 Feb 2014","6000.90","6006.95","5969.60","5974.00"
"NIFTY 100","19 Feb 2014","6007.25","6033.75","6003.35","6027.55"
"NIFTY 100","18 Feb 2014","5948.65","6016.10","5944.95","6002.50"
"NIFTY 100","17 Feb 2014","5937.85","5956.10","5918.40","5949.50"
"NIFTY 100","14 Feb 2014","5908.70","5935.40","5868.00","5928.35"
"NIFTY 100","13 Feb 2014","5972.95","5978.45","5877.55","5887.45"
"NIFTY 100","12 Feb 2014","5976.20","5993.50","5962.80","5969.55"
"NIFTY 100","11 Feb 2014","5962.35","5973.20","5944.95","5953.25"
"NIFTY 100","10 Feb 2014","5967.75","5976.20","5938.95","5945.25"
"NIFTY 100","07 Feb 2014","5973.25","5975.50","5927.85","5958.25"
"NIFTY 100","06 Feb 2014","5928.00","5947.00","5869.50","5934.35"
"NIFTY 100","05 Feb 2014","5901.05","5924.95","5864.25","5919.20"
"NIFTY 100","04 Feb 2014","5842.05","5912.25","5826.30","5896.35"
"NIFTY 100","03 Feb 2014","5948.85","5963.70","5886.80","5893.50"
"NIFTY 100","31 Jan 2014","5954.40","5983.65","5943.25","5976.00"
"NIFTY 100","30 Jan 2014","5946.70","5950.60","5902.90","5943.00"
"NIFTY 100","29 Jan 2014","6033.05","6043.90","5989.80","5999.20"
"NIFTY 100","28 Jan 2014","6005.35","6035.85","5963.40","5999.10"
"NIFTY 100","27 Jan 2014","6069.65","6069.65","6002.80","6008.45"
"NIFTY 100","24 Jan 2014","6186.75","6212.60","6142.55","6144.55"
"NIFTY 100","23 Jan 2014","6209.90","6234.55","6201.05","6226.05"
"NIFTY 100","22 Jan 2014","6195.50","6232.15","6176.70","6222.65"
"NIFTY 100","21 Jan 2014","6205.55","6217.85","6185.40","6199.85"
"NIFTY 100","20 Jan 2014","6144.85","6193.55","6129.80","6190.65"
"NIFTY 100","17 Jan 2014","6193.40","6211.30","6130.90","6145.35"
"NIFTY 100","16 Jan 2014","6233.60","6238.25","6190.15","6204.55"
"NIFTY 100","15 Jan 2014","6167.80","6219.30","6167.80","6215.35"
"NIFTY 100","14 Jan 2014","6159.50","6179.65","6138.25","6145.65"
"NIFTY 100","13 Jan 2014","6103.70","6183.55","6103.70","6171.25"
"NIFTY 100","10 Jan 2014","6098.75","6155.80","6059.95","6087.75"
"NIFTY 100","09 Jan 2014","6107.00","6113.55","6069.70","6087.75"
"NIFTY 100","08 Jan 2014","6102.80","6119.75","6086.40","6100.90"
"NIFTY 100","07 Jan 2014","6133.60","6150.80","6073.85","6087.95"
"NIFTY 100","06 Jan 2014","6146.70","6146.70","6101.25","6122.00"
"NIFTY 100","03 Jan 2014","6115.00","6145.50","6093.75","6136.85"
"NIFTY 100","02 Jan 2014","6227.30","6279.55","6131.05","6140.25"
"NIFTY 100","01 Jan 2014","6244.55","6247.75","6224.90","6227.55"
"NIFTY 100","31 Dec 2013","6227.15","6235.30","6205.95","6225.45"
"NIFTY 100","30 Dec 2013","6253.65","6260.55","6193.30","6210.75"
"NIFTY 100","27 Dec 2013","6209.80","6242.30","6208.60","6231.35"
"NIFTY 100","26 Dec 2013","6187.30","6217.25","6176.55","6194.45"
"NIFTY 100","24 Dec 2013","6206.50","6213.50","6175.35","6183.40"
"NIFTY 100","23 Dec 2013","6172.85","6227.05","6172.85","6195.30"
"NIFTY 100","20 Dec 2013","6089.45","6190.70","6084.30","6181.50"
"NIFTY 100","19 Dec 2013","6154.25","6163.35","6062.00","6077.95"
"NIFTY 100","18 Dec 2013","6033.75","6131.30","6033.75","6119.80"
"NIFTY 100","17 Dec 2013","6076.40","6089.60","6036.05","6041.40"
"NIFTY 100","16 Dec 2013","6059.40","6077.00","6041.20","6051.95"
"NIFTY 100","13 Dec 2013","6089.05","6095.75","6048.40","6054.10"
"NIFTY 100","12 Dec 2013","6160.55","6170.00","6116.60","6122.65"
