"Index Name","Date","Open","High","Low","Close"
"NIFTY 100","22 Feb 2019","10920.45","10946.15","10901.05","10937.35"
"NIFTY 100","21 Feb 2019","10875.30","10940.80","10853.45","10925.05"
"NIFTY 100","20 Feb 2019","10781.45","10882.30","10778.30","10865.10"
"NIFTY 100","19 Feb 2019","10758.30","10846.15","10713.30","10731.10"
"NIFTY 100","18 Feb 2019","10857.90","10876.35","10749.75","10761.20"
"NIFTY 100","15 Feb 2019","10917.00","10921.65","10743.75","10845.85"
"NIFTY 100","14 Feb 2019","10914.10","10922.55","10856.90","10888.40"
"NIFTY 100","13 Feb 2019","11009.50","11028.85","10903.60","10923.90"
"NIFTY 100","12 Feb 2019","11022.90","11054.00","10963.10","10971.40"
"NIFTY 100","11 Feb 2019","11080.05","11080.05","10996.30","11030.00"
"NIFTY 100","08 Feb 2019","11184.25","11199.20","11076.15","11094.10"
"NIFTY 100","07 Feb 2019","11215.30","11272.20","11198.75","11229.05"
"NIFTY 100","06 Feb 2019","11111.75","11217.60","11108.70","11206.00"
"NIFTY 100","05 Feb 2019","11067.00","11104.55","11044.60","11079.65"
"NIFTY 100","04 Feb 2019","11051.05","11084.75","10975.00","11070.45"
"NIFTY 100","01 Feb 2019","11018.70","11157.65","10981.15","11066.70"
"NIFTY 100","31 Jan 2019","10869.25","11002.50","10853.90","10996.80"
"NIFTY 100","30 Jan 2019","10879.45","10886.90","10788.25","10829.50"
"NIFTY 100","29 Jan 2019","10826.40","10868.00","10763.15","10829.95"
"NIFTY 100","28 Jan 2019","10978.90","10985.35","10803.25","10836.65"
"NIFTY 100","25 Jan 2019","11062.55","11128.70","10941.85","10968.30"
"NIFTY 100","24 Jan 2019","11047.85","11064.25","11000.50","11049.05"
"NIFTY 100","23 Jan 2019","11133.25","11145.10","11015.75","11034.80"
"NIFTY 100","22 Jan 2019","11142.75","11142.75","11057.60","11124.35"
"NIFTY 100","21 Jan 2019","11122.10","11188.50","11090.65","11153.35"
"NIFTY 100","18 Jan 2019","11135.25","11146.45","11066.85","11109.50"
"NIFTY 100","17 Jan 2019","11141.45","11151.70","11066.70","11123.90"
"NIFTY 100","16 Jan 2019","11120.65","11151.25","11097.40","11111.65"
"NIFTY 100","15 Jan 2019","11005.05","11117.45","11005.05","11107.75"
"NIFTY 100","14 Jan 2019","11033.65","11034.45","10918.35","10965.05"
"NIFTY 100","11 Jan 2019","11067.15","11081.85","10970.75","11025.85"
"NIFTY 100","10 Jan 2019","11083.65","11087.65","11032.05","11054.45"
"NIFTY 100","09 Jan 2019","11089.45","11098.35","10973.10","11078.00"
"NIFTY 100","08 Jan 2019","11018.90","11047.45","10967.85","11031.30"
"NIFTY 100","07 Jan 2019","11044.05","11070.20","10983.55","11005.10"
"NIFTY 100","04 Jan 2019","10940.90","10981.45","10869.45","10966.15"
"NIFTY 100","03 Jan 2019","11035.70","11059.55","10904.85","10914.80"
"NIFTY 100","02 Jan 2019","11110.15","11139.45","10977.65","11032.00"
"NIFTY 100","01 Jan 2019","11130.55","11161.00","11051.50","11148.80"
"NIFTY 100","31 Dec 2018","11154.10","11167.40","11100.35","11110.15"
"NIFTY 100","28 Dec 2018","11056.60","11134.20","11053.35","11101.65"
"NIFTY 100","27 Dec 2018","11055.50","11068.75","11003.50","11015.80"
"NIFTY 100","26 Dec 2018","10875.10","10988.15","10766.50","10968.85"
"NIFTY 100","24 Dec 2018","11028.80","11030.60","10891.15","10904.70"
"NIFTY 100","21 Dec 2018","11198.65","11220.00","10991.50","11005.85"
"NIFTY 100","20 Dec 2018","11144.05","11212.10","11135.75","11201.35"
"NIFTY 100","19 Dec 2018","11177.95","11239.65","11176.35","11223.40"
"NIFTY 100","18 Dec 2018","11089.65","11160.25","11061.05","11150.90"
"NIFTY 100","17 Dec 2018","11087.20","11136.75","11077.40","11125.75"
"NIFTY 100","14 Dec 2018","11018.15","11055.30","10986.80","11040.30"
"NIFTY 100","13 Dec 2018","11031.75","11071.45","10979.40","11023.05"
"NIFTY 100","12 Dec 2018","10805.45","10974.55","10778.15","10960.45"
"NIFTY 100","11 Dec 2018","10546.40","10782.25","10532.65","10761.75"
"NIFTY 100","10 Dec 2018","10706.70","10752.10","10674.15","10686.25"
"NIFTY 100","07 Dec 2018","10849.10","10903.45","10804.25","10894.10"
"NIFTY 100","06 Dec 2018","10922.60","10924.35","10793.70","10805.85"
"NIFTY 100","05 Dec 2018","11036.10","11037.25","10953.75","10989.15"
"NIFTY 100","04 Dec 2018","11097.50","11112.65","11054.65","11086.40"
"NIFTY 100","03 Dec 2018","11146.80","11154.20","11065.55","11103.20"
"NIFTY 100","30 Nov 2018","11098.35","11130.00","11045.85","11092.25"
"NIFTY 100","29 Nov 2018","11017.75","11087.75","10990.65","11065.90"
"NIFTY 100","28 Nov 2018","10926.75","10972.85","10919.80","10940.25"
"NIFTY 100","27 Nov 2018","10848.55","10915.05","10825.30","10905.85"
