Index Name,Date,Open,High,Low,Close
NIFTY500 MULTICAP 50:25:25,24 Feb 2009,-,-,-,1124.09
NIFTY500 MULTICAP 50:25:25,25 Feb 2009,-,-,-,1131.82
NIFTY500 MULTICAP 50:25:25,26 Feb 2009,-,-,-,1132.27
NIFTY500 MULTICAP 50:25:25,27 Feb 2009,-,-,-,1128.82
NIFTY500 MULTICAP 50:25:25,02 Mar 2009,-,-,-,1102.43
NIFTY500 MULTICAP 50:25:25,03 Mar 2009,-,-,-,1085.03
NIFTY500 MULTICAP 50:25:25,04 Mar 2009,-,-,-,1086.71
NIFTY500 MULTICAP 50:25:25,05 Mar 2009,-,-,-,1065.42
NIFTY500 MULTICAP 50:25:25,06 Mar 2009,-,-,-,1071.9
NIFTY500 MULTICAP 50:25:25,09 Mar 2009,-,-,-,1055.03
NIFTY500 MULTICAP 50:25:25,12 Mar 2009,-,-,-,1065.52
NIFTY500 MULTICAP 50:25:25,13 Mar 2009,-,-,-,1096.79
NIFTY500 MULTICAP 50:25:25,16 Mar 2009,-,-,-,1124.74
NIFTY500 MULTICAP 50:25:25,17 Mar 2009,-,-,-,1123.39
NIFTY500 MULTICAP 50:25:25,18 Mar 2009,-,-,-,1142.67
NIFTY500 MULTICAP 50:25:25,19 Mar 2009,-,-,-,1150.6
NIFTY500 MULTICAP 50:25:25,20 Mar 2009,-,-,-,1145.58
NIFTY500 MULTICAP 50:25:25,23 Mar 2009,-,-,-,1185.08
NIFTY500 MULTICAP 50:25:25,24 Mar 2009,-,-,-,1181.34
NIFTY500 MULTICAP 50:25:25,25 Mar 2009,-,-,-,1193.46
NIFTY500 MULTICAP 50:25:25,26 Mar 2009,-,-,-,1213.03
NIFTY500 MULTICAP 50:25:25,27 Mar 2009,-,-,-,1231.64
NIFTY500 MULTICAP 50:25:25,30 Mar 2009,-,-,-,1199.17
NIFTY500 MULTICAP 50:25:25,31 Mar 2009,-,-,-,1220.04
NIFTY500 MULTICAP 50:25:25,01 Apr 2009,-,-,-,1239.23
NIFTY500 MULTICAP 50:25:25,02 Apr 2009,-,-,-,1287.75
NIFTY500 MULTICAP 50:25:25,06 Apr 2009,-,-,-,1315.9
NIFTY500 MULTICAP 50:25:25,08 Apr 2009,-,-,-,1353.46
NIFTY500 MULTICAP 50:25:25,09 Apr 2009,-,-,-,1365.35
NIFTY500 MULTICAP 50:25:25,13 Apr 2009,-,-,-,1401.39
NIFTY500 MULTICAP 50:25:25,15 Apr 2009,-,-,-,1456.66
NIFTY500 MULTICAP 50:25:25,16 Apr 2009,-,-,-,1398.42
NIFTY500 MULTICAP 50:25:25,17 Apr 2009,-,-,-,1408.56
NIFTY500 MULTICAP 50:25:25,20 Apr 2009,-,-,-,1419.94
NIFTY500 MULTICAP 50:25:25,21 Apr 2009,-,-,-,1417.66
NIFTY500 MULTICAP 50:25:25,22 Apr 2009,-,-,-,1399.59
NIFTY500 MULTICAP 50:25:25,23 Apr 2009,-,-,-,1424.57
NIFTY500 MULTICAP 50:25:25,24 Apr 2009,-,-,-,1448.01
NIFTY500 MULTICAP 50:25:25,27 Apr 2009,-,-,-,1438.67
NIFTY500 MULTICAP 50:25:25,28 Apr 2009,-,-,-,1391.92
NIFTY500 MULTICAP 50:25:25,29 Apr 2009,-,-,-,1424.11
NIFTY500 MULTICAP 50:25:25,04 May 2009,-,-,-,1484.82
NIFTY500 MULTICAP 50:25:25,05 May 2009,-,-,-,1502.05
NIFTY500 MULTICAP 50:25:25,06 May 2009,-,-,-,1487.86
NIFTY500 MULTICAP 50:25:25,07 May 2009,-,-,-,1521.19
NIFTY500 MULTICAP 50:25:25,08 May 2009,-,-,-,1510.54
NIFTY500 MULTICAP 50:25:25,11 May 2009,-,-,-,1485.13
NIFTY500 MULTICAP 50:25:25,12 May 2009,-,-,-,1516.11
NIFTY500 MULTICAP 50:25:25,13 May 2009,-,-,-,1505.99
NIFTY500 MULTICAP 50:25:25,14 May 2009,-,-,-,1504.72
NIFTY500 MULTICAP 50:25:25,15 May 2009,-,-,-,1525.49
NIFTY500 MULTICAP 50:25:25,18 May 2009,-,-,-,1727.99
NIFTY500 MULTICAP 50:25:25,19 May 2009,-,-,-,1755.15
NIFTY500 MULTICAP 50:25:25,20 May 2009,-,-,-,1819.54
NIFTY500 MULTICAP 50:25:25,21 May 2009,-,-,-,1826.85
NIFTY500 MULTICAP 50:25:25,22 May 2009,-,-,-,1854.03
NIFTY500 MULTICAP 50:25:25,25 May 2009,-,-,-,1899.69
NIFTY500 MULTICAP 50:25:25,26 May 2009,-,-,-,1842.63
NIFTY500 MULTICAP 50:25:25,27 May 2009,-,-,-,1912.9
NIFTY500 MULTICAP 50:25:25,28 May 2009,-,-,-,1929.11
NIFTY500 MULTICAP 50:25:25,29 May 2009,-,-,-,1981.05
NIFTY500 MULTICAP 50:25:25,01 Jun 2009,-,-,-,2030.85
NIFTY500 MULTICAP 50:25:25,02 Jun 2009,-,-,-,2033.41
NIFTY500 MULTICAP 50:25:25,03 Jun 2009,-,-,-,2054.62
NIFTY500 MULTICAP 50:25:25,04 Jun 2009,-,-,-,2089.8
NIFTY500 MULTICAP 50:25:25,05 Jun 2009,-,-,-,2085.49
NIFTY500 MULTICAP 50:25:25,08 Jun 2009,-,-,-,1987.35
NIFTY500 MULTICAP 50:25:25,09 Jun 2009,-,-,-,2036.76
NIFTY500 MULTICAP 50:25:25,10 Jun 2009,-,-,-,2067.72
NIFTY500 MULTICAP 50:25:25,11 Jun 2009,-,-,-,2055.3
NIFTY500 MULTICAP 50:25:25,12 Jun 2009,-,-,-,2021.7
NIFTY500 MULTICAP 50:25:25,15 Jun 2009,-,-,-,1981.23
NIFTY500 MULTICAP 50:25:25,16 Jun 2009,-,-,-,2010.51
NIFTY500 MULTICAP 50:25:25,17 Jun 2009,-,-,-,1936.71
NIFTY500 MULTICAP 50:25:25,18 Jun 2009,-,-,-,1881.3
NIFTY500 MULTICAP 50:25:25,19 Jun 2009,-,-,-,1905.85
NIFTY500 MULTICAP 50:25:25,22 Jun 2009,-,-,-,1884.45
NIFTY500 MULTICAP 50:25:25,23 Jun 2009,-,-,-,1890.38
NIFTY500 MULTICAP 50:25:25,24 Jun 2009,-,-,-,1920.66
NIFTY500 MULTICAP 50:25:25,25 Jun 2009,-,-,-,1906.67
NIFTY500 MULTICAP 50:25:25,26 Jun 2009,-,-,-,1951.99
NIFTY500 MULTICAP 50:25:25,29 Jun 2009,-,-,-,1974.13
NIFTY500 MULTICAP 50:25:25,30 Jun 2009,-,-,-,1924.99
NIFTY500 MULTICAP 50:25:25,01 Jul 2009,-,-,-,1940.52
