"Index Name","Date","Open","High","Low","Close"
"NIFTY500 MULTICAP 50:25:25","23 Feb 2024","14090.55","14101.55","14036.50","14068.00"
"NIFTY500 MULTICAP 50:25:25","22 Feb 2024","13973.75","14046.50","13832.50","14031.95"
"NIFTY500 MULTICAP 50:25:25","21 Feb 2024","14079.95","14091.35","13894.85","13928.10"
"NIFTY500 MULTICAP 50:25:25","20 Feb 2024","14048.80","14061.35","13994.10","14037.00"
"NIFTY500 MULTICAP 50:25:25","19 Feb 2024","14044.00","14077.10","13999.55","14036.55"
"NIFTY500 MULTICAP 50:25:25","16 Feb 2024","13957.85","14001.45","13935.05","13979.25"
"NIFTY500 MULTICAP 50:25:25","15 Feb 2024","13856.00","13902.95","13834.40","13887.70"
"NIFTY500 MULTICAP 50:25:25","14 Feb 2024","13547.10","13802.15","13513.40","13785.80"
"NIFTY500 MULTICAP 50:25:25","13 Feb 2024","13622.75","13681.30","13440.20","13671.40"
"NIFTY500 MULTICAP 50:25:25","12 Feb 2024","13915.40","13920.35","13575.30","13606.75"
"NIFTY500 MULTICAP 50:25:25","09 Feb 2024","13971.50","13977.75","13711.05","13881.70"
"NIFTY500 MULTICAP 50:25:25","08 Feb 2024","14093.60","14093.80","13924.55","13945.35"
"NIFTY500 MULTICAP 50:25:25","07 Feb 2024","14046.90","14059.65","13947.80","14018.45"
"NIFTY500 MULTICAP 50:25:25","06 Feb 2024","13882.60","13963.15","13809.85","13956.05"
"NIFTY500 MULTICAP 50:25:25","05 Feb 2024","13910.85","13957.00","13784.85","13824.65"
"NIFTY500 MULTICAP 50:25:25","02 Feb 2024","13842.70","13967.60","13829.15","13852.80"
"NIFTY500 MULTICAP 50:25:25","01 Feb 2024","13835.45","13835.75","13695.30","13764.85"
"NIFTY500 MULTICAP 50:25:25","31 Jan 2024","13608.40","13789.60","13594.55","13783.50"
"NIFTY500 MULTICAP 50:25:25","30 Jan 2024","13711.20","13732.55","13582.10","13592.25"
"NIFTY500 MULTICAP 50:25:25","29 Jan 2024","13513.45","13669.65","13510.90","13659.20"
"NIFTY500 MULTICAP 50:25:25","25 Jan 2024","13501.60","13503.95","13380.55","13450.75"
"NIFTY500 MULTICAP 50:25:25","24 Jan 2024","13286.65","13485.50","13181.70","13472.75"
"NIFTY500 MULTICAP 50:25:25","23 Jan 2024","13691.65","13699.45","13240.85","13283.65"
"NIFTY500 MULTICAP 50:25:25","20 Jan 2024","13647.40","13667.40","13580.95","13593.40"
"NIFTY500 MULTICAP 50:25:25","19 Jan 2024","13534.65","13584.40","13528.60","13578.05"
"NIFTY500 MULTICAP 50:25:25","18 Jan 2024","13417.65","13468.85","13200.85","13433.90"
"NIFTY500 MULTICAP 50:25:25","17 Jan 2024","13511.20","13614.70","13452.60","13468.40"
"NIFTY500 MULTICAP 50:25:25","16 Jan 2024","13729.60","13749.15","13590.50","13673.30"
"NIFTY500 MULTICAP 50:25:25","15 Jan 2024","13719.55","13725.90","13630.35","13713.40"
"NIFTY500 MULTICAP 50:25:25","12 Jan 2024","13613.90","13654.50","13575.45","13632.05"
"NIFTY500 MULTICAP 50:25:25","11 Jan 2024","13532.40","13560.75","13502.80","13540.80"
"NIFTY500 MULTICAP 50:25:25","10 Jan 2024","13454.80","13488.15","13369.80","13480.75"
"NIFTY500 MULTICAP 50:25:25","09 Jan 2024","13504.70","13529.35","13431.10","13443.90"
"NIFTY500 MULTICAP 50:25:25","08 Jan 2024","13560.65","13564.20","13400.65","13411.75"
"NIFTY500 MULTICAP 50:25:25","05 Jan 2024","13527.45","13554.85","13441.40","13522.90"
"NIFTY500 MULTICAP 50:25:25","04 Jan 2024","13402.60","13486.85","13397.95","13476.90"
"NIFTY500 MULTICAP 50:25:25","03 Jan 2024","13373.20","13377.40","13309.70","13343.15"
"NIFTY500 MULTICAP 50:25:25","02 Jan 2024","13411.80","13419.25","13242.65","13359.50"
"NIFTY500 MULTICAP 50:25:25","01 Jan 2024","13366.20","13433.40","13348.15","13387.00"
"NIFTY500 MULTICAP 50:25:25","29 Dec 2023","13308.55","13356.80","13263.70","13342.20"
"NIFTY500 MULTICAP 50:25:25","28 Dec 2023","13273.35","13306.80","13237.90","13297.95"
"NIFTY500 MULTICAP 50:25:25","27 Dec 2023","13200.80","13239.20","13156.90","13227.15"
"NIFTY500 MULTICAP 50:25:25","26 Dec 2023","13119.60","13158.95","13092.90","13144.35"
"NIFTY500 MULTICAP 50:25:25","22 Dec 2023","13051.10","13110.00","12994.45","13083.30"
"NIFTY500 MULTICAP 50:25:25","21 Dec 2023","12748.75","13006.45","12687.25","12991.75"
"NIFTY500 MULTICAP 50:25:25","20 Dec 2023","13235.85","13264.05","12815.20","12850.20"
"NIFTY500 MULTICAP 50:25:25","19 Dec 2023","13210.20","13211.75","13106.30","13169.25"
"NIFTY500 MULTICAP 50:25:25","18 Dec 2023","13160.65","13197.65","13100.00","13168.15"
"NIFTY500 MULTICAP 50:25:25","15 Dec 2023","13116.70","13156.95","13084.35","13147.25"
"NIFTY500 MULTICAP 50:25:25","14 Dec 2023","13009.55","13061.75","13004.00","13046.85"
"NIFTY500 MULTICAP 50:25:25","13 Dec 2023","12877.30","12917.35","12805.05","12905.20"
"NIFTY500 MULTICAP 50:25:25","12 Dec 2023","12930.30","12937.20","12805.65","12844.55"
"NIFTY500 MULTICAP 50:25:25","11 Dec 2023","12864.25","12900.45","12857.30","12893.65"
"NIFTY500 MULTICAP 50:25:25","08 Dec 2023","12898.10","12914.45","12757.05","12837.00"
"NIFTY500 MULTICAP 50:25:25","07 Dec 2023","12848.90","12872.70","12785.65","12861.40"
"NIFTY500 MULTICAP 50:25:25","06 Dec 2023","12838.95","12850.00","12774.60","12833.15"
"NIFTY500 MULTICAP 50:25:25","05 Dec 2023","12766.45","12789.15","12686.70","12781.75"
"NIFTY500 MULTICAP 50:25:25","04 Dec 2023","12714.05","12714.35","12628.55","12706.90"
"NIFTY500 MULTICAP 50:25:25","01 Dec 2023","12472.35","12524.80","12467.70","12502.65"
"NIFTY500 MULTICAP 50:25:25","30 Nov 2023","12359.50","12427.35","12301.15","12415.05"
"NIFTY500 MULTICAP 50:25:25","29 Nov 2023","12297.75","12345.85","12288.60","12337.65"
"NIFTY500 MULTICAP 50:25:25","28 Nov 2023","12223.25","12243.30","12193.70","12233.80"
"NIFTY500 MULTICAP 50:25:25","24 Nov 2023","12190.80","12210.65","12169.60","12176.70"
"NIFTY500 MULTICAP 50:25:25","23 Nov 2023","12170.25","12202.85","12159.70","12167.25"
"NIFTY500 MULTICAP 50:25:25","22 Nov 2023","12175.00","12180.05","12085.00","12148.20"
"NIFTY500 MULTICAP 50:25:25","21 Nov 2023","12186.45","12195.85","12156.05","12164.65"
"NIFTY500 MULTICAP 50:25:25","20 Nov 2023","12167.35","12182.85","12118.70","12134.70"
"NIFTY500 MULTICAP 50:25:25","17 Nov 2023","12102.10","12177.85","12095.20","12145.85"
"NIFTY500 MULTICAP 50:25:25","16 Nov 2023","12079.60","12174.00","12060.90","12128.85"
"NIFTY500 MULTICAP 50:25:25","15 Nov 2023","12061.35","12073.00","12029.60","12067.80"
"NIFTY500 MULTICAP 50:25:25","13 Nov 2023","11941.95","11950.65","11898.80","11940.65"
"NIFTY500 MULTICAP 50:25:25","12 Nov 2023","11963.10","11971.15","11946.30","11955.35"
"NIFTY500 MULTICAP 50:25:25","10 Nov 2023","11820.40","11878.75","11795.35","11867.80"
"NIFTY500 MULTICAP 50:25:25","09 Nov 2023","11883.65","11885.35","11828.60","11834.80"
"NIFTY500 MULTICAP 50:25:25","08 Nov 2023","11841.50","11868.95","11827.10","11859.70"
"NIFTY500 MULTICAP 50:25:25","07 Nov 2023","11782.85","11804.85","11751.60","11797.30"
"NIFTY500 MULTICAP 50:25:25","06 Nov 2023","11732.60","11773.50","11718.45","11766.90"
"NIFTY500 MULTICAP 50:25:25","03 Nov 2023","11642.40","11671.35","11636.00","11655.65"
"NIFTY500 MULTICAP 50:25:25","02 Nov 2023","11538.25","11579.55","11526.35","11571.75"
"NIFTY500 MULTICAP 50:25:25","01 Nov 2023","11508.50","11526.95","11447.15","11456.75"
"NIFTY500 MULTICAP 50:25:25","31 Oct 2023","11562.30","11565.45","11487.35","11494.65"
"NIFTY500 MULTICAP 50:25:25","30 Oct 2023","11493.15","11512.40","11401.60","11504.35"
"NIFTY500 MULTICAP 50:25:25","27 Oct 2023","11375.60","11493.00","11374.85","11472.65"
"NIFTY500 MULTICAP 50:25:25","26 Oct 2023","11380.20","11386.60","11205.75","11312.15"
"NIFTY500 MULTICAP 50:25:25","25 Oct 2023","11547.00","11589.50","11353.35","11435.00"
"NIFTY500 MULTICAP 50:25:25","23 Oct 2023","11801.95","11812.20","11493.15","11517.15"
"NIFTY500 MULTICAP 50:25:25","20 Oct 2023","11850.15","11875.40","11779.65","11794.90"
"NIFTY500 MULTICAP 50:25:25","19 Oct 2023","11836.10","11891.30","11795.55","11875.70"
"NIFTY500 MULTICAP 50:25:25","18 Oct 2023","11984.70","11990.90","11876.95","11889.65"
