"Index Name","Date","Open","High","Low","Close"
"NIFTY LARGEMIDCAP 250","23 Feb 2023","9712.45","9720.80","9626.70","9680.00"
"NIFTY LARGEMIDCAP 250","22 Feb 2023","9793.30","9799.50","9681.75","9705.45"
"NIFTY LARGEMIDCAP 250","21 Feb 2023","9874.60","9887.30","9816.60","9829.55"
"NIFTY LARGEMIDCAP 250","20 Feb 2023","9891.95","9898.20","9837.55","9849.10"
"NIFTY LARGEMIDCAP 250","17 Feb 2023","9904.50","9928.20","9854.30","9874.80"
"NIFTY LARGEMIDCAP 250","16 Feb 2023","9926.10","9959.30","9917.05","9932.30"
"NIFTY LARGEMIDCAP 250","15 Feb 2023","9822.55","9895.20","9815.55","9886.45"
"NIFTY LARGEMIDCAP 250","14 Feb 2023","9842.35","9854.05","9789.05","9839.35"
"NIFTY LARGEMIDCAP 250","13 Feb 2023","9915.00","9922.15","9816.05","9825.65"
"NIFTY LARGEMIDCAP 250","10 Feb 2023","9897.75","9930.25","9881.05","9921.90"
"NIFTY LARGEMIDCAP 250","09 Feb 2023","9925.45","9936.45","9877.30","9920.15"
"NIFTY LARGEMIDCAP 250","08 Feb 2023","9849.95","9926.40","9843.10","9914.70"
"NIFTY LARGEMIDCAP 250","07 Feb 2023","9855.35","9868.20","9789.40","9831.30"
"NIFTY LARGEMIDCAP 250","06 Feb 2023","9812.00","9852.25","9783.75","9843.40"
"NIFTY LARGEMIDCAP 250","03 Feb 2023","9809.75","9831.35","9682.25","9822.20"
"NIFTY LARGEMIDCAP 250","02 Feb 2023","9723.20","9811.05","9685.35","9773.50"
"NIFTY LARGEMIDCAP 250","01 Feb 2023","9915.70","9981.25","9620.95","9771.90"
"NIFTY LARGEMIDCAP 250","31 Jan 2023","9787.30","9854.25","9715.85","9837.80"
"NIFTY LARGEMIDCAP 250","30 Jan 2023","9736.75","9826.90","9655.05","9754.95"
"NIFTY LARGEMIDCAP 250","27 Jan 2023","9936.35","9941.55","9692.75","9768.65"
"NIFTY LARGEMIDCAP 250","25 Jan 2023","10058.75","10060.45","9914.65","9935.20"
"NIFTY LARGEMIDCAP 250","24 Jan 2023","10117.65","10123.00","10058.95","10073.00"
"NIFTY LARGEMIDCAP 250","23 Jan 2023","10091.65","10099.65","10058.25","10091.75"
"NIFTY LARGEMIDCAP 250","20 Jan 2023","10120.75","10126.95","10052.30","10060.20"
"NIFTY LARGEMIDCAP 250","19 Jan 2023","10114.15","10134.85","10088.65","10116.75"
"NIFTY LARGEMIDCAP 250","18 Jan 2023","10108.95","10144.90","10081.30","10138.95"
"NIFTY LARGEMIDCAP 250","17 Jan 2023","10072.50","10101.60","10026.65","10092.30"
"NIFTY LARGEMIDCAP 250","16 Jan 2023","10113.35","10133.85","10040.70","10055.90"
"NIFTY LARGEMIDCAP 250","13 Jan 2023","10073.40","10098.10","10010.80","10083.20"
"NIFTY LARGEMIDCAP 250","12 Jan 2023","10100.45","10104.10","10013.65","10058.70"
"NIFTY LARGEMIDCAP 250","11 Jan 2023","10115.40","10130.65","10057.45","10077.25"
"NIFTY LARGEMIDCAP 250","10 Jan 2023","10181.30","10181.45","10053.35","10100.35"
"NIFTY LARGEMIDCAP 250","09 Jan 2023","10123.70","10176.45","10109.20","10167.80"
"NIFTY LARGEMIDCAP 250","06 Jan 2023","10145.35","10149.05","10025.95","10060.85"
"NIFTY LARGEMIDCAP 250","05 Jan 2023","10154.50","10163.60","10065.60","10133.70"
"NIFTY LARGEMIDCAP 250","04 Jan 2023","10230.65","10240.30","10105.25","10120.50"
"NIFTY LARGEMIDCAP 250","03 Jan 2023","10205.15","10234.80","10187.70","10222.70"
"NIFTY LARGEMIDCAP 250","02 Jan 2023","10168.35","10208.20","10134.70","10200.70"
"NIFTY LARGEMIDCAP 250","30 Dec 2022","10195.70","10217.65","10126.70","10143.55"
"NIFTY LARGEMIDCAP 250","29 Dec 2022","10076.95","10160.65","10025.30","10142.80"
"NIFTY LARGEMIDCAP 250","28 Dec 2022","10085.50","10137.15","10055.45","10115.25"
"NIFTY LARGEMIDCAP 250","27 Dec 2022","10069.50","10111.85","10009.20","10097.05"
"NIFTY LARGEMIDCAP 250","26 Dec 2022","9833.55","10043.85","9772.70","10014.85"
"NIFTY LARGEMIDCAP 250","23 Dec 2022","10021.85","10049.55","9808.55","9826.35"
"NIFTY LARGEMIDCAP 250","22 Dec 2022","10227.10","10253.00","10059.70","10110.75"
"NIFTY LARGEMIDCAP 250","21 Dec 2022","10352.60","10381.20","10161.00","10181.10"
"NIFTY LARGEMIDCAP 250","20 Dec 2022","10310.50","10328.40","10226.40","10320.25"
"NIFTY LARGEMIDCAP 250","19 Dec 2022","10285.00","10344.05","10237.65","10338.45"
"NIFTY LARGEMIDCAP 250","16 Dec 2022","10343.25","10389.25","10255.55","10269.75"
"NIFTY LARGEMIDCAP 250","15 Dec 2022","10490.85","10511.40","10370.45","10388.80"
"NIFTY LARGEMIDCAP 250","14 Dec 2022","10487.50","10513.10","10479.75","10501.30"
"NIFTY LARGEMIDCAP 250","13 Dec 2022","10430.80","10457.95","10404.30","10452.20"
"NIFTY LARGEMIDCAP 250","12 Dec 2022","10366.70","10411.00","10306.95","10404.95"
"NIFTY LARGEMIDCAP 250","09 Dec 2022","10484.10","10487.75","10323.60","10388.25"
"NIFTY LARGEMIDCAP 250","08 Dec 2022","10423.80","10449.60","10406.60","10443.75"
"NIFTY LARGEMIDCAP 250","07 Dec 2022","10459.95","10470.35","10390.80","10405.65"
"NIFTY LARGEMIDCAP 250","06 Dec 2022","10455.45","10473.25","10426.30","10450.15"
"NIFTY LARGEMIDCAP 250","05 Dec 2022","10510.60","10512.15","10435.35","10488.15"
"NIFTY LARGEMIDCAP 250","02 Dec 2022","10462.35","10489.30","10443.00","10485.10"
"NIFTY LARGEMIDCAP 250","01 Dec 2022","10475.45","10489.75","10442.85","10469.70"
"NIFTY LARGEMIDCAP 250","30 Nov 2022","10334.15","10443.90","10332.40","10415.90"
"NIFTY LARGEMIDCAP 250","29 Nov 2022","10325.55","10351.50","10312.85","10324.00"
"NIFTY LARGEMIDCAP 250","28 Nov 2022","10260.85","10337.25","10242.45","10324.90"
"NIFTY LARGEMIDCAP 250","25 Nov 2022","10250.60","10285.35","10230.90","10277.55"
"NIFTY LARGEMIDCAP 250","24 Nov 2022","10185.60","10237.70","10171.25","10225.75"
"NIFTY LARGEMIDCAP 250","23 Nov 2022","10170.40","10175.60","10139.55","10151.50"
"NIFTY LARGEMIDCAP 250","22 Nov 2022","10109.20","10138.60","10090.80","10132.45"
"NIFTY LARGEMIDCAP 250","21 Nov 2022","10119.20","10123.55","10075.85","10093.85"
"NIFTY LARGEMIDCAP 250","18 Nov 2022","10195.05","10202.75","10082.15","10135.60"
"NIFTY LARGEMIDCAP 250","17 Nov 2022","10196.70","10210.20","10156.45","10169.30"
"NIFTY LARGEMIDCAP 250","16 Nov 2022","10255.30","10269.15","10178.50","10213.55"
"NIFTY LARGEMIDCAP 250","15 Nov 2022","10247.30","10258.10","10206.25","10249.45"
"NIFTY LARGEMIDCAP 250","14 Nov 2022","10245.45","10259.70","10212.35","10232.95"
"NIFTY LARGEMIDCAP 250","11 Nov 2022","10264.30","10283.00","10218.55","10236.45"
"NIFTY LARGEMIDCAP 250","10 Nov 2022","10188.20","10199.50","10106.40","10143.70"
"NIFTY LARGEMIDCAP 250","09 Nov 2022","10317.65","10318.60","10211.00","10228.95"
"NIFTY LARGEMIDCAP 250","07 Nov 2022","10262.95","10289.20","10208.30","10272.90"
"NIFTY LARGEMIDCAP 250","04 Nov 2022","10205.60","10231.10","10169.65","10210.85"
"NIFTY LARGEMIDCAP 250","03 Nov 2022","10140.55","10211.20","10137.10","10195.70"
"NIFTY LARGEMIDCAP 250","02 Nov 2022","10224.00","10232.75","10176.15","10194.60"
"NIFTY LARGEMIDCAP 250","01 Nov 2022","10178.20","10220.00","10158.75","10212.60"
"NIFTY LARGEMIDCAP 250","31 Oct 2022","10057.80","10135.80","10055.60","10131.25"
"NIFTY LARGEMIDCAP 250","28 Oct 2022","10043.10","10052.55","9973.85","10003.30"
"NIFTY LARGEMIDCAP 250","27 Oct 2022","10017.10","10044.40","9981.75","10027.70"
"NIFTY LARGEMIDCAP 250","25 Oct 2022","10006.35","10007.30","9945.55","9968.40"
"NIFTY LARGEMIDCAP 250","24 Oct 2022","10010.75","10016.75","9967.90","9979.55"
"NIFTY LARGEMIDCAP 250","21 Oct 2022","9974.65","9994.10","9884.90","9911.95"
"NIFTY LARGEMIDCAP 250","20 Oct 2022","9893.45","9956.75","9863.15","9946.80"
"NIFTY LARGEMIDCAP 250","19 Oct 2022","9968.45","9988.30","9920.70","9939.75"
