"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","20 Feb 2020","9969.90","10016.65","9950.60","9958.65"
"NIFTY 500","19 Feb 2020","9921.30","9974.85","9895.40","9970.50"
"NIFTY 500","18 Feb 2020","9876.70","9877.60","9768.45","9845.55"
"NIFTY 500","17 Feb 2020","9976.15","9990.75","9884.95","9891.00"
"NIFTY 500","14 Feb 2020","10031.25","10071.70","9947.65","9961.05"
"NIFTY 500","13 Feb 2020","10049.85","10053.20","9990.35","10017.75"
"NIFTY 500","12 Feb 2020","10020.60","10067.70","10015.85","10037.10"
"NIFTY 500","11 Feb 2020","10004.05","10044.15","9979.60","9987.05"
"NIFTY 500","10 Feb 2020","10008.75","10008.75","9917.65","9945.65"
"NIFTY 500","07 Feb 2020","10019.45","10021.70","9974.55","10000.75"
"NIFTY 500","06 Feb 2020","9979.65","10022.50","9953.20","10004.20"
"NIFTY 500","05 Feb 2020","9880.15","9955.90","9847.05","9951.35"
"NIFTY 500","04 Feb 2020","9711.95","9858.65","9711.10","9853.05"
"NIFTY 500","03 Feb 2020","9578.50","9682.65","9559.85","9650.55"
"NIFTY 500","01 Feb 2020","9844.90","9918.35","9582.85","9606.05"
"NIFTY 500","31 Jan 2020","9968.40","9971.20","9849.25","9861.45"
"NIFTY 500","30 Jan 2020","10025.35","10026.90","9902.30","9919.20"
"NIFTY 500","29 Jan 2020","10006.95","10039.05","9990.20","10009.30"
"NIFTY 500","28 Jan 2020","10023.50","10041.05","9934.20","9956.95"
"NIFTY 500","27 Jan 2020","10046.45","10077.45","9989.55","9999.60"
"NIFTY 500","24 Jan 2020","10019.95","10101.25","9999.25","10083.70"
"NIFTY 500","23 Jan 2020","9961.80","10027.80","9944.10","10021.40"
"NIFTY 500","22 Jan 2020","10029.55","10034.05","9935.00","9947.00"
"NIFTY 500","21 Jan 2020","10001.85","10033.30","9977.70","9987.55"
"NIFTY 500","20 Jan 2020","10174.95","10174.95","10019.05","10025.70"
"NIFTY 500","17 Jan 2020","10096.40","10138.45","10089.50","10118.70"
"NIFTY 500","16 Jan 2020","10099.95","10132.15","10076.60","10110.05"
"NIFTY 500","15 Jan 2020","10070.00","10095.95","10030.95","10087.05"
"NIFTY 500","14 Jan 2020","10051.20","10083.85","10032.85","10075.85"
"NIFTY 500","13 Jan 2020","10012.80","10046.45","10006.25","10042.50"
"NIFTY 500","10 Jan 2020","9985.00","10023.15","9947.35","9978.00"
"NIFTY 500","09 Jan 2020","9894.05","9951.20","9882.15","9943.90"
"NIFTY 500","08 Jan 2020","9708.70","9798.25","9700.35","9792.20"
"NIFTY 500","07 Jan 2020","9814.45","9883.45","9765.50","9805.40"
"NIFTY 500","06 Jan 2020","9896.45","9901.60","9731.85","9747.40"
"NIFTY 500","03 Jan 2020","9966.80","9976.75","9913.60","9941.65"
"NIFTY 500","02 Jan 2020","9903.25","9984.40","9901.40","9980.00"
"NIFTY 500","01 Jan 2020","9897.95","9914.40","9875.10","9888.55"
"NIFTY 500","31 Dec 2019","9921.50","9921.70","9861.50","9872.55"
"NIFTY 500","30 Dec 2019","9931.60","9946.05","9891.05","9924.70"
"NIFTY 500","27 Dec 2019","9852.15","9916.25","9842.95","9908.70"
"NIFTY 500","26 Dec 2019","9871.45","9877.15","9811.35","9817.20"
"NIFTY 500","24 Dec 2019","9905.35","9915.25","9860.35","9868.40"
"NIFTY 500","23 Dec 2019","9882.95","9922.05","9861.40","9897.65"
"NIFTY 500","20 Dec 2019","9899.50","9920.65","9891.65","9905.35"
"NIFTY 500","19 Dec 2019","9866.15","9898.55","9845.55","9892.30"
"NIFTY 500","18 Dec 2019","9854.75","9876.40","9821.20","9864.55"
"NIFTY 500","17 Dec 2019","9776.45","9842.90","9766.55","9831.35"
"NIFTY 500","16 Dec 2019","9815.25","9817.65","9747.95","9753.00"
"NIFTY 500","13 Dec 2019","9732.35","9791.05","9731.15","9783.60"
"NIFTY 500","12 Dec 2019","9666.50","9714.95","9657.35","9691.15"
"NIFTY 500","11 Dec 2019","9605.60","9645.95","9574.85","9636.25"
"NIFTY 500","10 Dec 2019","9680.55","9682.65","9585.00","9595.40"
"NIFTY 500","09 Dec 2019","9682.00","9714.30","9636.75","9671.45"
"NIFTY 500","06 Dec 2019","9781.90","9787.25","9642.15","9669.40"
"NIFTY 500","05 Dec 2019","9801.10","9805.60","9741.95","9757.60"
"NIFTY 500","04 Dec 2019","9722.25","9790.10","9699.60","9782.10"
"NIFTY 500","03 Dec 2019","9814.75","9815.95","9715.50","9743.15"
"NIFTY 500","02 Dec 2019","9863.10","9863.15","9778.60","9798.00"
"NIFTY 500","29 Nov 2019","9871.10","9872.10","9781.05","9813.65"
"NIFTY 500","28 Nov 2019","9838.45","9874.90","9816.75","9869.75"
"NIFTY 500","27 Nov 2019","9787.30","9824.50","9778.15","9815.95"
"NIFTY 500","26 Nov 2019","9833.60","9852.90","9739.20","9762.85"
"NIFTY 500","25 Nov 2019","9688.85","9809.10","9687.05","9802.05"
"NIFTY 500","22 Nov 2019","9715.05","9715.50","9650.20","9679.30"
"NIFTY 500","21 Nov 2019","9768.05","9769.50","9703.90","9712.35"
"NIFTY 500","20 Nov 2019","9748.40","9776.70","9725.70","9744.90"
"NIFTY 500","19 Nov 2019","9692.20","9714.25","9662.60","9702.15"
"NIFTY 500","18 Nov 2019","9685.85","9705.70","9654.40","9668.60"
"NIFTY 500","15 Nov 2019","9676.95","9721.30","9657.80","9667.30"
"NIFTY 500","14 Nov 2019","9648.85","9671.10","9596.85","9650.40"
"NIFTY 500","13 Nov 2019","9698.10","9730.60","9618.25","9633.95"
"NIFTY 500","11 Nov 2019","9665.65","9708.35","9655.50","9695.85"
"NIFTY 500","08 Nov 2019","9753.25","9785.40","9669.95","9683.30"
"NIFTY 500","07 Nov 2019","9768.90","9771.30","9718.25","9764.30"
"NIFTY 500","06 Nov 2019","9694.85","9750.55","9646.10","9721.35"
"NIFTY 500","05 Nov 2019","9757.75","9760.80","9657.70","9694.05"
"NIFTY 500","04 Nov 2019","9736.75","9780.00","9712.10","9732.40"
"NIFTY 500","01 Nov 2019","9703.10","9730.75","9678.20","9704.00"
"NIFTY 500","31 Oct 2019","9686.40","9733.35","9671.30","9689.65"
"NIFTY 500","30 Oct 2019","9666.60","9673.70","9602.10","9647.55"
"NIFTY 500","29 Oct 2019","9490.10","9615.75","9475.50","9598.35"
"NIFTY 500","27 Oct 2019","9493.70","9504.05","9462.75","9478.35"
"NIFTY 500","25 Oct 2019","9478.45","9479.05","9365.55","9431.10"
"NIFTY 500","24 Oct 2019","9501.35","9516.65","9402.50","9437.65"
"NIFTY 500","23 Oct 2019","9457.25","9497.75","9418.25","9458.65"
"NIFTY 500","22 Oct 2019","9481.05","9526.80","9435.85","9448.25"
"NIFTY 500","18 Oct 2019","9391.85","9494.70","9373.50","9479.20"
"NIFTY 500","17 Oct 2019","9286.65","9399.25","9268.05","9391.00"
"NIFTY 500","16 Oct 2019","9282.95","9301.75","9246.65","9281.85"
"NIFTY 500","15 Oct 2019","9208.70","9277.25","9196.85","9253.85"
"NIFTY 500","14 Oct 2019","9187.70","9248.50","9156.90","9192.65"
"NIFTY 500","11 Oct 2019","9132.40","9207.35","9076.30","9161.40"
"NIFTY 500","10 Oct 2019","9153.50","9165.05","9097.55","9112.75"
"NIFTY 500","09 Oct 2019","9059.10","9183.30","9008.85","9177.95"
"NIFTY 500","07 Oct 2019","9104.50","9120.30","9031.60","9040.65"
"NIFTY 500","04 Oct 2019","9253.10","9264.00","9078.80","9091.65"
"NIFTY 500","03 Oct 2019","9207.15","9243.80","9153.70","9198.40"
"NIFTY 500","01 Oct 2019","9372.70","9402.00","9140.05","9236.40"
"NIFTY 500","30 Sep 2019","9384.65","9389.55","9276.90","9340.90"
"NIFTY 500","27 Sep 2019","9435.55","9465.35","9388.50","9395.60"
"NIFTY 500","26 Sep 2019","9365.50","9471.25","9363.25","9443.80"
"NIFTY 500","25 Sep 2019","9458.05","9458.45","9326.10","9344.15"
"NIFTY 500","24 Sep 2019","9489.10","9530.35","9434.65","9474.75"
"NIFTY 500","23 Sep 2019","9425.40","9552.25","9386.90","9486.60"
"NIFTY 500","20 Sep 2019","8799.45","9293.90","8748.05","9230.50"
"NIFTY 500","19 Sep 2019","8884.50","8884.50","8738.65","8766.45"
"NIFTY 500","18 Sep 2019","8898.95","8912.20","8841.55","8877.70"
"NIFTY 500","17 Sep 2019","9010.55","9012.10","8838.25","8853.90"
"NIFTY 500","16 Sep 2019","8992.15","9044.45","8978.95","9009.15"
"NIFTY 500","13 Sep 2019","8992.65","9056.80","8945.60","9050.85"
"NIFTY 500","12 Sep 2019","9036.95","9061.00","8969.85","8981.60"
"NIFTY 500","11 Sep 2019","8992.70","9026.25","8981.10","9015.15"
"NIFTY 500","09 Sep 2019","8914.70","8986.60","8882.90","8972.40"
"NIFTY 500","06 Sep 2019","8873.75","8928.45","8859.25","8920.40"
"NIFTY 500","05 Sep 2019","8848.00","8894.90","8825.00","8846.30"
"NIFTY 500","04 Sep 2019","8798.75","8841.95","8751.25","8833.10"
"NIFTY 500","03 Sep 2019","8927.90","8931.65","8783.75","8802.35"
"NIFTY 500","30 Aug 2019","8936.45","8991.20","8859.75","8977.55"
"NIFTY 500","29 Aug 2019","8938.05","8954.65","8874.25","8906.10"
"NIFTY 500","28 Aug 2019","9023.80","9047.55","8930.10","8970.90"
"NIFTY 500","27 Aug 2019","9004.00","9047.85","8972.90","9022.25"
"NIFTY 500","26 Aug 2019","8933.05","8973.20","8735.30","8964.70"
"NIFTY 500","23 Aug 2019","8687.45","8812.85","8628.35","8790.55"
"NIFTY 500","22 Aug 2019","8851.35","8853.25","8706.45","8719.25"
"NIFTY 500","21 Aug 2019","8957.85","8965.10","8858.45","8864.50"
"NIFTY 500","20 Aug 2019","9004.75","9012.10","8930.50","8957.40"
"NIFTY 500","19 Aug 2019","9022.60","9061.40","8983.65","8997.95"
"NIFTY 500","16 Aug 2019","8971.65","8999.20","8886.30","8988.80"
"NIFTY 500","14 Aug 2019","8942.00","8998.25","8897.00","8971.10"
"NIFTY 500","13 Aug 2019","9066.35","9070.20","8874.85","8890.10"
"NIFTY 500","09 Aug 2019","9022.50","9103.10","9010.35","9046.55"
"NIFTY 500","08 Aug 2019","8888.45","8998.90","8844.40","8979.65"
"NIFTY 500","07 Aug 2019","8928.60","8953.25","8840.15","8854.65"
"NIFTY 500","06 Aug 2019","8792.65","8960.95","8791.60","8918.60"
"NIFTY 500","05 Aug 2019","8866.90","8866.90","8765.20","8831.95"
"NIFTY 500","02 Aug 2019","8890.50","9007.05","8821.10","8943.95"
"NIFTY 500","01 Aug 2019","9001.70","9026.15","8859.55","8935.75"
"NIFTY 500","31 Jul 2019","8963.30","9058.45","8928.00","9044.95"
"NIFTY 500","30 Jul 2019","9123.65","9165.80","8995.25","9004.05"
"NIFTY 500","29 Jul 2019","9205.35","9208.20","9081.70","9108.90"
