"Index Name","Date","Open","High","Low","Close"
"NIFTY 100","23 Feb 2018","10766.25","10866.70","10755.10","10857.85"
"NIFTY 100","22 Feb 2018","10725.30","10755.40","10705.05","10737.35"
"NIFTY 100","21 Feb 2018","10806.05","10806.35","10722.30","10765.50"
"NIFTY 100","20 Feb 2018","10761.05","10805.20","10725.50","10740.00"
"NIFTY 100","19 Feb 2018","10866.85","10867.25","10670.65","10748.35"
"NIFTY 100","16 Feb 2018","10984.05","11000.80","10809.35","10831.35"
"NIFTY 100","15 Feb 2018","10945.00","11013.80","10898.90","10932.05"
"NIFTY 100","14 Feb 2018","10994.85","10998.50","10864.00","10908.15"
"NIFTY 100","12 Feb 2018","10916.15","10960.35","10884.15","10945.15"
"NIFTY 100","09 Feb 2018","10787.95","10871.35","10771.85","10846.10"
"NIFTY 100","08 Feb 2018","10887.10","11017.75","10851.85","10958.95"
"NIFTY 100","07 Feb 2018","10969.20","10977.60","10814.35","10844.70"
"NIFTY 100","06 Feb 2018","10630.25","10944.15","10610.75","10851.65"
"NIFTY 100","05 Feb 2018","10951.25","11060.45","10929.40","11023.85"
"NIFTY 100","02 Feb 2018","11300.85","11316.30","11087.80","11111.20"
"NIFTY 100","01 Feb 2018","11414.30","11483.00","11232.05","11385.15"
"NIFTY 100","31 Jan 2018","11393.75","11430.85","11338.85","11393.55"
"NIFTY 100","30 Jan 2018","11494.95","11494.95","11408.50","11424.60"
"NIFTY 100","29 Jan 2018","11474.30","11552.80","11471.80","11505.45"
"NIFTY 100","25 Jan 2018","11509.70","11509.70","11414.75","11459.05"
"NIFTY 100","24 Jan 2018","11489.05","11528.40","11456.95","11497.45"
"NIFTY 100","23 Jan 2018","11422.95","11515.75","11420.00","11506.65"
"NIFTY 100","22 Jan 2018","11308.00","11399.60","11302.65","11391.20"
"NIFTY 100","19 Jan 2018","11246.20","11328.25","11208.80","11315.75"
"NIFTY 100","18 Jan 2018","11316.85","11329.40","11190.90","11234.50"
"NIFTY 100","17 Jan 2018","11144.75","11246.15","11086.80","11232.75"
"NIFTY 100","16 Jan 2018","11229.60","11229.95","11127.60","11142.80"
"NIFTY 100","15 Jan 2018","11196.15","11255.70","11192.10","11207.75"
"NIFTY 100","12 Jan 2018","11165.05","11173.40","11067.60","11159.10"
"NIFTY 100","11 Jan 2018","11121.90","11148.20","11092.20","11132.40"
"NIFTY 100","10 Jan 2018","11140.85","11143.85","11076.80","11117.45"
"NIFTY 100","09 Jan 2018","11142.35","11155.05","11088.55","11125.00"
"NIFTY 100","08 Jan 2018","11084.00","11127.80","11082.00","11120.55"
"NIFTY 100","05 Jan 2018","11015.05","11056.65","11004.80","11051.25"
"NIFTY 100","04 Jan 2018","10938.30","10990.50","10907.90","10982.15"
"NIFTY 100","03 Jan 2018","10942.45","10968.95","10894.40","10910.05"
"NIFTY 100","02 Jan 2018","10941.60","10959.00","10854.45","10899.30"
"NIFTY 100","01 Jan 2018","10990.45","10998.20","10884.85","10897.75"
"NIFTY 100","29 Dec 2017","10944.75","10993.20","10941.35","10985.15"
"NIFTY 100","28 Dec 2017","10947.50","10982.80","10911.90","10927.05"
"NIFTY 100","27 Dec 2017","10984.00","11002.55","10913.45","10937.85"
"NIFTY 100","26 Dec 2017","10962.85","10993.60","10934.20","10982.05"
"NIFTY 100","22 Dec 2017","10904.95","10949.10","10896.05","10940.65"
"NIFTY 100","21 Dec 2017","10911.55","10913.15","10872.85","10886.35"
"NIFTY 100","20 Dec 2017","10926.90","10926.90","10873.45","10881.90"
"NIFTY 100","19 Dec 2017","10838.80","10906.50","10831.60","10897.55"
"NIFTY 100","18 Dec 2017","10673.80","10862.70","10484.75","10807.85"
"NIFTY 100","15 Dec 2017","10755.75","10783.40","10731.35","10743.65"
"NIFTY 100","14 Dec 2017","10642.00","10681.55","10546.05","10658.40"
"NIFTY 100","13 Dec 2017","10660.30","10716.85","10579.75","10605.65"
